Group,x,y,t,s,Reply,Gender
P,7.5853879501044,319.3232997201,0,1,Disagree,Male
S,-0.50878665806203,69.086443613789,1,1,Agree,Male
R,-35.704129244529,390.65180295084,0,1,Disagree,Male
Q,-11.693860510222,-230.38337293984,0,1,Disagree,Male
P,17.88976214821,-52.723919077648,0,1,Disagree,Male
P,16.017760290773,108.88596942829,0,0,Disagree,Female
S,-12.001328892075,-106.81210639738,1,0,Agree,Female
P,5.4511775101773,110.05164629549,0,0,Disagree,Female
S,-27.579102153228,-220.32046513181,0,1,Disagree,Male
S,-41.708330393167,119.72205055865,0,0,Disagree,Female
R,10.179504881231,241.86162422405,0,1,Disagree,Male
R,-55.098887639166,604.80500422083,0,1,Disagree,Male
Q,-15.458366084592,15.625877043524,0,0,Disagree,Female
R,16.449597623874,135.42994427654,0,1,Disagree,Male
P,19.573980871855,313.18141157654,0,0,Disagree,Female
R,-27.799338875711,586.32738154583,0,1,Disagree,Male
P,26.748828030074,17.862033775478,0,1,Disagree,Male
Q,12.96873357844,-20.837847539148,0,1,Disagree,Male
R,31.134838181611,-137.35289503324,0,1,Disagree,Male
S,-25.655649326116,88.378325702799,1,1,Agree,Male
P,-17.249529884313,340.96456118206,0,1,Disagree,Male
R,10.426559912705,308.3084514068,0,1,Disagree,Male
P,5.9442103295327,30.570957439752,0,0,Disagree,Female
S,-15.775017945922,192.18512606629,1,1,Agree,Male
S,0.18346443222067,-61.789353524237,1,1,Agree,Male
P,9.5794490354971,209.07963446531,0,1,Disagree,Male
R,-27.371543427171,358.59440306974,0,1,Disagree,Male
P,18.978373203417,213.61152187391,0,1,Disagree,Male
Q,4.6871773948368,-352.14221895726,0,1,Disagree,Male
R,27.682257944104,136.09303391264,0,0,Disagree,Female
R,-17.319740853421,175.76018952474,0,0,Disagree,Female
S,-13.37847364339,-144.30741237863,0,0,Disagree,Female
P,20.943308249555,-91.318680786676,0,0,Disagree,Female
S,-28.503415161047,-233.26629657078,0,0,Disagree,Female
P,16.097865514503,-148.45851382402,0,0,Disagree,Female
Q,1.7844159392567,-245.84885482902,0,0,Disagree,Female
S,-40.506977682238,-76.774610657606,0,0,Disagree,Female
R,16.451655772259,240.27098985774,0,0,Disagree,Female
R,2.5782214242863,314.71864742354,0,1,Disagree,Male
P,-1.0602990589385,228.97022034692,0,1,Disagree,Male
R,3.1489221053891,172.10638910071,0,0,Disagree,Female
S,-36.324931126239,209.69960989323,1,1,Agree,Male
Q,-24.60270717675,-343.7176823489,0,0,Disagree,Female
S,3.2340627784068,-212.07001436878,0,1,Disagree,Male
P,-5.9908028128514,116.86767367267,0,1,Disagree,Male
S,-10.123435176035,-173.49547916348,1,1,Agree,Male
P,-1.5649442507722,318.77552107152,0,0,Disagree,Female
Q,-16.658708204822,-434.81639966546,0,1,Disagree,Male
R,15.040810449068,147.39999069618,0,1,Disagree,Male
R,-31.373034945863,487.5751898324,0,0,Disagree,Female
R,-34.816062537868,385.28592259776,0,0,Disagree,Female
S,9.9909199019852,-175.75726993743,0,0,Disagree,Female
R,43.828582060909,17.792245636597,0,0,Disagree,Female
Q,-0.5253114949564,-106.25111525192,0,1,Disagree,Male
R,-36.274817450566,360.31450738586,0,0,Disagree,Female
P,-2.4809371826616,332.80463044895,0,1,Disagree,Male
S,-19.629323596893,-68.590383246816,1,1,Agree,Male
R,28.849350468185,-97.61388624069,0,0,Disagree,Female
P,3.3998409125022,224.20692697596,0,1,Disagree,Male
Q,-14.820588583509,-56.888730072365,0,0,Disagree,Female
P,18.847015215013,301.49824319244,0,1,Disagree,Male
R,-57.712288536463,995.48588626249,0,1,Disagree,Male
R,-38.540862473445,680.82974384484,0,0,Disagree,Female
Q,-11.73360238631,-45.208981132232,0,1,Disagree,Male
P,-9.4523213987482,131.66094996345,0,0,Disagree,Female
R,10.179101404352,360.96556735643,0,1,Disagree,Male
R,-5.437504620495,497.13963872992,0,1,Disagree,Male
R,-7.5864737623308,119.89018847136,0,1,Disagree,Male
P,13.346649751694,100.6588426445,0,1,Disagree,Male
P,-3.8193929604345,211.48812540178,0,1,Disagree,Male
S,-6.4880372553542,-26.554808569399,0,0,Disagree,Female
Q,-1.9190351799685,-144.58682279735,0,0,Disagree,Female
Q,0.050834122137553,164.90627934034,0,0,Disagree,Female
P,-5.0270946566142,567.04113291672,0,0,Disagree,Female
R,37.189516501589,-26.630575623657,0,0,Disagree,Female
P,9.4010940396232,40.801792566572,0,0,Disagree,Female
P,-7.4964277201781,312.57462501879,0,0,Disagree,Female
Q,-22.071810496073,-279.97702272096,0,1,Disagree,Male
S,-7.4066784695753,-98.56130836092,0,1,Disagree,Male
S,-9.6365864396266,-148.04585635664,0,1,Disagree,Male
Q,-5.9736898536671,-383.84294612931,0,1,Disagree,Male
S,-2.5885834217018,-185.88839639811,0,1,Disagree,Male
S,-13.210294613247,-27.103657827295,0,0,Disagree,Female
S,-4.8537735966285,11.679758478738,0,0,Disagree,Female
R,28.497009680372,141.15405873356,0,1,Disagree,Male
R,41.554046463479,-374.12539863779,0,0,Disagree,Female
P,24.164243746625,72.982809128232,0,1,Disagree,Male
Q,-0.36807217419523,-130.71070334861,0,0,Disagree,Female
R,6.7032568593059,322.05070533792,0,1,Disagree,Male
Q,-9.2221001466839,-204.23533894738,0,1,Disagree,Male
R,-19.002713394353,637.24758927955,0,1,Disagree,Male
R,2.3778369414517,188.24493421067,0,0,Disagree,Female
Q,6.5799860416818,97.676828046644,1,1,Agree,Male
R,56.853796222179,-92.024344817747,0,1,Disagree,Male
S,-48.42695099275,-202.65521607672,0,0,Disagree,Female
R,-35.970577233923,334.36074221617,0,0,Disagree,Female
Q,-14.322816788369,-226.84242131926,0,0,Disagree,Female
S,4.0119045162629,-242.37341731432,0,1,Disagree,Male
R,-71.497305414871,726.04179742469,0,1,Disagree,Male
P,6.3738164922101,-103.23190692264,0,1,Disagree,Male
R,23.666092004006,341.98365539777,0,0,Disagree,Female
P,-8.5889726931178,212.79678984443,0,0,Disagree,Female
S,0.22414109167836,-28.877013690247,0,1,Disagree,Male
Q,1.6004670064899,-308.09481918677,0,1,Disagree,Male
Q,-13.694970521468,-104.43930827707,0,0,Disagree,Female
S,-3.6437763299997,-0.99482019571343,0,1,Disagree,Male
S,-21.193850364626,174.7375453863,0,1,Disagree,Male
S,-1.3563799747994,-163.40723279836,0,0,Disagree,Female
P,0.68291541546719,-27.963886644209,0,0,Disagree,Female
Q,-11.946522005343,-183.87406927667,0,0,Disagree,Female
S,-12.975067602459,-76.351052453905,0,0,Disagree,Female
Q,-4.7141286147358,-220.23448375949,0,1,Disagree,Male
S,7.9037299672625,-67.649645727896,0,0,Disagree,Female
S,1.3100789772859,-150.79563454576,0,1,Disagree,Male
Q,-7.508214995036,-6.057628423468,0,1,Disagree,Male
P,3.088497948874,177.45141097459,0,1,Disagree,Male
Q,-8.7738739991439,69.510890539042,0,1,Disagree,Male
P,22.026814427705,55.272851283789,0,1,Disagree,Male
P,30.103836916901,148.35685814421,0,1,Disagree,Male
S,-10.277378620709,81.739138094587,1,1,Agree,Male
Q,-14.516747906579,-213.15999612778,0,0,Disagree,Female
S,-11.275420564355,157.5503974648,0,0,Disagree,Female
S,5.9645688151776,-248.37645080331,0,0,Disagree,Female
P,-0.42177677127615,174.62037553062,0,0,Disagree,Female
P,2.9167482805982,233.48651299183,0,1,Disagree,Male
P,5.5745127576285,388.88912208559,0,1,Disagree,Male
Q,7.8709927424188,56.596054056471,0,1,Disagree,Male
Q,-1.3956840692068,-197.45650185573,0,1,Disagree,Male
R,-2.5706585382906,109.25965322985,0,0,Disagree,Female
P,-9.3205203778672,336.95614461878,0,1,Disagree,Male
P,-0.12607606552825,239.49466409371,0,0,Disagree,Female
P,14.345627597228,197.56178370796,0,1,Disagree,Male
S,-8.104316514034,-51.325588067679,0,0,Disagree,Female
R,17.855151200134,47.086363870225,0,1,Disagree,Male
Q,-16.998018263838,116.18385826572,0,0,Disagree,Female
P,14.708115093274,-96.098226476972,0,1,Disagree,Male
Q,-8.4376273725357,-27.763199669664,0,1,Disagree,Male
Q,-7.9291970058946,-51.663432494115,0,1,Disagree,Male
R,8.8997058225328,447.54779276231,0,1,Disagree,Male
R,22.977647543874,-8.4924969871028,0,1,Disagree,Male
Q,0.021236715382536,-93.591435706518,0,1,Disagree,Male
Q,-8.3884994924946,-35.565868003557,0,1,Disagree,Male
P,10.361710720864,47.161510336288,0,1,Disagree,Male
P,12.904538183894,262.95166692601,0,1,Disagree,Male
P,19.277848980519,244.83061544124,0,0,Disagree,Female
R,-65.946989762106,794.49092634138,0,0,Disagree,Female
Q,8.160763346665,-48.547030276408,0,0,Disagree,Female
Q,-5.4229940508599,-284.37621535891,0,1,Disagree,Male
S,-9.0254643797062,-72.786888300808,1,1,Agree,Male
S,-18.529155073934,-215.87606889842,0,1,Disagree,Male
S,9.5198411562107,-113.73378384846,0,0,Disagree,Female
P,23.023788514558,-214.60774286632,0,0,Disagree,Female
P,-7.175854159601,278.3455443491,0,0,Disagree,Female
R,14.864728637908,108.93644374653,0,1,Disagree,Male
R,-13.439168569836,346.67619152678,0,0,Disagree,Female
P,1.826315982652,218.24216257932,0,1,Disagree,Male
S,-41.64313626459,226.18122766082,0,0,Disagree,Female
R,-33.23546237137,649.90222343612,0,1,Disagree,Male
P,19.955779753139,131.0427493863,0,0,Disagree,Female
S,4.5276595840825,-30.660412380779,0,1,Disagree,Male
R,1.8877417123354,131.84100452803,0,1,Disagree,Male
Q,4.6528653752305,-301.11679294152,0,1,Disagree,Male
Q,-16.835315904503,68.212749641022,0,1,Disagree,Male
S,-41.988052356983,-350.57612362065,0,0,Disagree,Female
Q,-1.9972327342244,-181.75279503258,0,1,Disagree,Male
P,7.6590276237852,147.82841897236,0,0,Disagree,Female
R,-46.249023913056,797.69405763396,0,1,Disagree,Male
Q,-23.976684634097,106.21739296579,0,1,Disagree,Male
S,-33.838059341925,-200.39815274086,0,0,Disagree,Female
R,-44.606142685565,369.22717369498,0,1,Disagree,Male
R,-21.888062611636,850.30619953215,0,0,Disagree,Female
R,-12.639865686949,389.28187631875,1,0,Agree,Female
Q,-7.0237697078957,124.31745845606,0,1,Disagree,Male
S,-2.6036739752645,192.50773899001,0,0,Disagree,Female
Q,-20.840589801241,43.193298049361,0,0,Disagree,Female
P,19.65429940012,-37.3226359218,0,1,Disagree,Male
R,10.895664872553,292.02187182848,0,0,Disagree,Female
Q,-17.750903796754,190.09371726359,0,0,Disagree,Female
P,4.6248429043334,147.60769492602,0,1,Disagree,Male
R,-29.729889283297,624.533562382,0,0,Disagree,Female
P,5.6820977934087,184.67968160272,0,0,Disagree,Female
S,16.091369575398,-143.26753283444,1,1,Agree,Male
R,28.041038659886,129.59815575164,0,1,Disagree,Male
P,8.6145383383215,135.35615024173,0,0,Disagree,Female
S,-21.308892027619,-140.99946223525,0,0,Disagree,Female
R,28.991181685585,234.74961361976,0,1,Disagree,Male
R,-21.26923300059,193.28722997628,0,1,Disagree,Male
S,8.2243702072764,-17.434482782816,0,1,Disagree,Male
Q,-20.557034743744,-163.02791090777,0,0,Disagree,Female
S,-45.719429799691,-25.543011097025,0,1,Disagree,Male
S,23.702362188931,-10.992993050717,0,0,Disagree,Female
R,3.6375317958358,378.2795727841,0,0,Disagree,Female
R,6.7425899038755,54.723096421325,0,0,Disagree,Female
P,19.349002211983,-7.9975846563454,0,1,Disagree,Male
Q,6.0564891100193,-101.80662226901,0,0,Disagree,Female
Q,-4.0320967291631,-241.17118239876,1,0,Agree,Female
S,-13.049320109677,-42.382913631565,1,1,Agree,Male
Q,-4.2523558755649,-299.71506345492,0,0,Disagree,Female
R,12.502345875605,102.4907307981,0,1,Disagree,Male
P,-10.008227672897,225.20525022419,0,1,Disagree,Male
P,-4.5491960228184,127.07706719268,0,0,Disagree,Female
P,-12.170279936013,296.43133199375,0,1,Disagree,Male
P,-0.64917065279985,377.94824889067,0,1,Disagree,Male
Q,-1.428582786782,-207.69163942276,0,0,Disagree,Female
R,56.423490826703,-217.5823997192,0,1,Disagree,Male
P,19.404885863142,4.6905379601245,0,1,Disagree,Male
Q,19.392937927224,81.099221274303,0,0,Disagree,Female
P,0.80482183248029,55.270435316614,0,1,Disagree,Male
S,-21.300798169943,-8.8829597685873,0,1,Disagree,Male
P,12.625471333333,-185.54037557009,0,1,Disagree,Male
S,3.0182627393018,-293.36216589872,1,0,Agree,Female
P,10.980443346771,149.9807615322,0,0,Disagree,Female
S,-7.8352060801513,-220.52123145225,0,1,Disagree,Male
Q,-0.092467029622043,-274.58163201976,0,1,Disagree,Male
P,3.1722578681876,163.94060600965,1,1,Agree,Male
R,11.314559466352,296.07696239095,0,0,Disagree,Female
R,39.938416088437,-64.046537059381,0,0,Disagree,Female
P,-11.085759616963,624.49253058969,0,0,Disagree,Female
S,5.6905148214151,-152.75986500213,1,1,Agree,Male
P,-8.5731830725321,313.76684958523,0,0,Disagree,Female
S,-25.382119793623,212.51420251211,0,0,Disagree,Female
Q,0.39431894216422,8.0226871785813,0,0,Disagree,Female
P,14.051749490226,32.869700415931,0,0,Disagree,Female
Q,-7.3864440114174,-44.036460236198,0,1,Disagree,Male
R,-59.032587554321,498.97921095462,0,1,Disagree,Male
Q,17.352783176281,99.229636937487,0,0,Disagree,Female
P,-22.368019246668,491.65156146821,0,0,Disagree,Female
Q,-15.112189627305,-203.13396252791,0,0,Disagree,Female
P,11.568361016255,184.03547747481,0,0,Disagree,Female
S,-20.596487629039,325.17852876204,0,1,Disagree,Male
S,21.974938505783,50.325507956709,0,0,Disagree,Female
S,-28.196467719598,-195.39814761346,0,0,Disagree,Female
Q,-20.561074937489,-29.532426785926,0,1,Disagree,Male
R,11.312621612247,180.83629777601,0,0,Disagree,Female
R,-6.2327205712128,551.13166831393,0,1,Disagree,Male
S,18.893155983134,60.755844212489,1,1,Agree,Male
S,-14.316457906885,-218.2091157456,0,1,Disagree,Male
Q,13.082474244797,-225.34076068752,0,0,Disagree,Female
S,-3.0224408973113,-2.298390337405,0,0,Disagree,Female
R,2.5457806929693,49.108185771438,0,1,Disagree,Male
P,13.730660260064,-2.720704124179,0,0,Disagree,Female
P,35.431928488627,-46.031441055718,0,0,Disagree,Female
S,5.3251691280516,-33.362998203078,0,1,Disagree,Male
P,17.057026311782,-76.912817867432,0,1,Disagree,Male
S,-14.960682330635,9.6759062491711,0,0,Disagree,Female
S,-28.364985324147,183.71172362459,0,0,Disagree,Female
P,15.558855264708,-140.04575783156,0,1,Disagree,Male
Q,-29.393202160668,-125.72211392909,0,0,Disagree,Female
R,6.2053026879231,421.87610369636,0,1,Disagree,Male
S,6.1239725654591,-87.741693287036,1,1,Agree,Male
P,12.193636605606,-58.986454477527,0,1,Disagree,Male
Q,-5.2439551866818,-323.85631210769,0,1,Disagree,Male
Q,-3.0418054624655,-87.39110849164,0,0,Disagree,Female
Q,-6.6364072159102,-271.69350464861,0,1,Disagree,Male
P,-2.9693029937191,435.71483234443,0,0,Disagree,Female
Q,-13.22291539061,-158.12484316394,0,1,Disagree,Male
R,25.488461615745,26.944675322131,0,1,Disagree,Male
R,44.616008667097,-89.591652276736,0,1,Disagree,Male
R,-34.909223228651,628.16135778379,0,0,Disagree,Female
R,-36.559347272645,465.27382332518,0,0,Disagree,Female
R,23.619217649391,180.65069825791,0,1,Disagree,Male
Q,-15.573745130828,78.158817230332,0,1,Disagree,Male
S,-30.151551217377,-59.753876893667,1,1,Agree,Male
P,12.673111529403,112.453940463,0,1,Disagree,Male
R,-1.7979421582064,212.37345469202,0,1,Disagree,Male
S,-26.630793008316,-204.46020308251,0,0,Disagree,Female
Q,-6.6588773725829,-284.3945641133,0,1,Disagree,Male
S,-7.9011688585864,107.46817387336,1,1,Agree,Male
P,20.677039701341,-134.5912715232,0,1,Disagree,Male
P,8.3736908102286,257.08146083731,0,1,Disagree,Male
P,2.1694800710163,372.21738042646,0,1,Disagree,Male
P,-22.151645036019,341.84724484889,0,0,Disagree,Female
S,-20.271664919924,-9.0474253515933,0,0,Disagree,Female
R,13.427492124228,175.68992076148,0,1,Disagree,Male
R,-2.3226478720655,215.12643429596,0,1,Disagree,Male
R,41.738173504704,-96.637051840609,0,0,Disagree,Female
P,9.2995255162472,269.61984660226,0,0,Disagree,Female
Q,-1.5159246402401,-60.702981189686,0,0,Disagree,Female
S,-18.785170414385,180.23791057348,1,1,Agree,Male
Q,8.5394718384088,-189.31253241297,0,0,Disagree,Female
Q,-14.525132132007,26.91196396384,0,0,Disagree,Female
R,21.836293399723,126.71447437942,0,0,Disagree,Female
Q,-14.810436020983,-147.89553206735,0,1,Disagree,Male
P,-20.321788494625,345.86495384149,0,1,Disagree,Male
R,-35.570287210201,351.01955193049,0,1,Disagree,Male
P,-13.063341994799,148.76226903115,0,1,Disagree,Male
P,-0.98058438905542,525.71772580068,0,1,Disagree,Male
